Feature,Coef_Dropout,Coef_Enrolled,Coef_Graduate
Nacionality_22,-0.244029603079654,0.11729627444595132,0.1267333286337006
Nacionality_24,0.13507463319398005,-0.19190874201125716,0.05683410881727808
Nacionality_25,-0.5937312819437148,0.6031347162817693,-0.009403434338052836
Nacionality_26,-0.5506709826598936,-0.30102415914396496,0.8516951418038609
Nacionality_32,-0.023151947698836273,0.039363931270610095,-0.016211983571773707
Nacionality_41,0.12596179099328877,-0.2108715457646027,0.08490975477131445
Nacionality_62,-0.015392911023932542,0.03617428272164232,-0.02078137169770998
Nacionality_100,0.5704631387027714,0.1403662440579853,-0.7108293827607661
Nacionality_101,0.37338536180867454,-0.1910531931872084,-0.18233216862146645
Nacionality_103,0.17973920752107406,-0.2960555595869341,0.11631635206586087
Nacionality_105,0.21322515029528258,0.411054281807878,-0.6242794321031601
Nacionality_108,-0.04281073989434747,0.17471498632261886,-0.1319042464282711
Mother's qualification_1,-0.09191551413337269,0.241307974932464,-0.14939246079909166
Mother's qualification_2,-0.6824864712946098,0.498606737101183,0.18387973419342923
Mother's qualification_3,-0.3556215452137396,0.3810938643101098,-0.025472319096367046
Mother's qualification_4,-0.8199598665194211,0.4587301197342175,0.36122974678519887
Mother's qualification_5,-0.17242668185862242,0.40650624831582943,-0.23407956645720848
Mother's qualification_6,-0.2497124105236553,-0.13038344506106028,0.38009585558471526
Mother's qualification_9,0.4340262926583201,-0.7246073904349938,0.2905810977766705
Mother's qualification_10,0.4290169823673111,-0.21659536004217006,-0.21242162232514053
Mother's qualification_11,0.20490960957948323,-0.06341269615554494,-0.14149691342393975
Mother's qualification_12,0.3954086817727935,-0.24657478759237625,-0.1488338941804194
Mother's qualification_14,0.0006792550031996731,-0.0005827437181504865,-9.65112850491801e-05
Mother's qualification_18,0.156742829648734,-0.07747537110382746,-0.07926745854490619
Mother's qualification_19,-0.22817076823048948,0.34547928770499003,-0.11730851947450008
Mother's qualification_22,-0.012681103129482623,-0.006361837653127619,0.01904294078261017
Mother's qualification_26,-0.3006307126506944,-0.12472266982903922,0.42535338247973375
Mother's qualification_29,-0.09455487280190443,-0.22998809333668802,0.3245429661385918
Mother's qualification_30,-0.04433885974107155,-0.04317451243296901,0.08751337217404058
Mother's qualification_34,0.6912519813597708,-0.5001758766854699,-0.1910761046742905
Mother's qualification_35,0.2213396894905011,-0.1481320129182184,-0.07320767657228194
Mother's qualification_36,0.2260024440422996,-0.2981722427142701,0.07216979867196908
Mother's qualification_37,0.03406714530799438,0.18370834637844158,-0.2177754916864345
Mother's qualification_38,-0.014173314329143446,0.15025640675034305,-0.1360830924211993
Mother's qualification_39,-0.4475658621282376,0.07316408248411448,0.37440177964412386
Mother's qualification_40,0.3827272197199373,0.07996375646373585,-0.46269097618367433
Mother's qualification_41,0.10905962851563727,-0.5940923488773583,0.4850327203617201
Mother's qualification_42,0.040006714881996606,-0.0702449365163747,0.030238221634378157
Mother's qualification_43,-0.07292985987166249,0.7164703668243424,-0.6435405069526856
Mother's qualification_44,0.27122597738128645,-0.18931546237419886,-0.08191051500708803
Father's qualification_1,-0.31734514912678685,0.2737859634409017,0.04355918568588507
Father's qualification_2,-0.016563115717100486,0.6236632051565126,-0.6071000894394121
Father's qualification_3,-0.04794943873803706,0.12065818851560586,-0.07270874977756941
Father's qualification_4,0.2644415404858089,-0.2266317471931252,-0.03780979329268154
Father's qualification_5,0.5581492076323941,-0.5568466673188469,-0.0013025403135473231
Father's qualification_6,0.0560337374115772,-0.044113452907282774,-0.011920284504294434
Father's qualification_9,-0.42645473716692406,-0.35876372801260953,0.7852184651795424
Father's qualification_10,0.3692751019350888,-0.09579006222650215,-0.27348503970858723
Father's qualification_11,-0.24097453037588593,-0.3811003867965499,0.6220749171724355
Father's qualification_12,-0.1344533824128286,-0.008994218767123542,0.14344760117995264
Father's qualification_14,0.06555376420729382,-0.294145169838859,0.22859140563156566
Father's qualification_18,0.156742829648734,-0.07747537110382746,-0.07926745854490619
Father's qualification_19,-0.3771548998957957,0.24349441943635744,0.13366048045944146
Father's qualification_20,0.03549669913229364,-0.012220671706447911,-0.023276027425845818
Father's qualification_22,0.6947984397928432,-0.26603069241061567,-0.42876774738222584
Father's qualification_25,0.06662416468899077,-0.006874579502154555,-0.0597495851868367
Father's qualification_26,0.00041902273970936685,-0.0003792376642453918,-3.9785075463960865e-05
Father's qualification_27,0.025602878794444495,-0.02404863201153796,-0.0015542467829064487
Father's qualification_29,0.17724737567100485,-0.13086205911480725,-0.04638531655619704
Father's qualification_30,-0.5013601075192203,0.3969956262706136,0.10436448124860782
Father's qualification_31,0.41705540830071325,-0.14910753281483569,-0.26794787548587623
Father's qualification_34,0.27666508362899256,0.05942298916552613,-0.33608807279451797
Father's qualification_35,0.2213396894905011,-0.1481320129182184,-0.07320767657228194
Father's qualification_36,-0.18535352624507334,-0.2547766199314072,0.4401301461764813
Father's qualification_37,-0.2612279203553801,0.19738733316660798,0.06384058718877463
Father's qualification_38,-0.39731842887689295,0.24705751082988345,0.1502609180470109
Father's qualification_39,-0.23257827146736504,1.1305085970533506,-0.8979303255859872
Father's qualification_40,0.5995883975648197,-0.34861637301415943,-0.2509720245506614
Father's qualification_41,-0.21551573233787671,0.22235278888726562,-0.0068370565493887465
Father's qualification_42,-0.15412052034332116,-0.05775467091906628,0.21187519126238769
Father's qualification_43,-0.48025873831685145,-0.18884224704127553,0.6691009853581282
Father's qualification_44,0.01289176707329802,-0.0125450851551904,-0.0003466819181075852
Mother's occupation_0,1.2560276355972015,-1.5106622937183658,0.25463465812116787
Mother's occupation_1,0.2847704137750527,-0.187657564712823,-0.09711284906222696
Mother's occupation_2,0.37589790785939947,-0.13794427798050563,-0.23795362987889304
Mother's occupation_3,0.09862878945302869,0.022333230195789082,-0.1209620196488172
Mother's occupation_4,0.17563507563741249,-0.16160825660543507,-0.01402681903197817
Mother's occupation_5,0.18688049780307237,-0.27499325910020944,0.08811276129713666
Mother's occupation_6,-0.15242960034630756,-0.333264833804159,0.48569443415046765
